Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
D300713.lib1.stats.tsv	17755098.0	0.0	17755098.0	1.0	8877549.0	8877549.0	15852662.0	15571524.0	1902436.0	14294700.0	17755098.0	0.0	353686.0	0.0	0.0	0.0	2629068360.0	1314576426.0	1314491934.0	2347403484.0	2347403484.0	0.0	0.0	12888281.0	0.005490441	148.0	148.0	148.0	150.0	150.0	150.0	39.3	268.4	97.4	7148109.0	300835.0	310.0	336508.0	80.5	89.2851281361556	87.70170685625052	10.714871863844401	80.51039763340084	100.0	0.0	1.9920250510585749	0.0
D300714.lib1.stats.tsv	41248380.0	0.0	41248380.0	1.0	20624190.0	20624190.0	36396438.0	35842436.0	4851942.0	33419876.0	41248380.0	0.0	864505.0	0.0	0.0	0.0	6105296744.0	3052865040.0	3052431704.0	5387108896.0	5387108896.0	0.0	0.0	28978418.0	0.005379215	148.0	148.0	148.0	150.0	150.0	150.0	39.4	267.2	96.3	16603231.0	719571.0	559.0	597857.0	81.0	88.23725440853677	86.89416651029688	11.762745591463228	81.02106313023687	100.0	0.0	2.095852006793964	0.0
D300715.lib1.stats.tsv	1174130.0	0.0	1174130.0	1.0	587065.0	587065.0	938188.0	928134.0	235942.0	835908.0	1174130.0	0.0	9754.0	0.0	0.0	0.0	173795662.0	86898332.0	86897330.0	139285709.0	139285709.0	0.0	0.0	498962.0	0.003582291	148.0	148.0	148.0	150.0	150.0	150.0	39.1	287.5	109.3	433252.0	14869.0	24.0	15922.0	71.2	79.90495089981519	79.04865730370572	20.095049100184816	71.19382010509909	100.0	0.0	0.8307427627264443	0.0
D300716.lib1.stats.tsv	3455592.0	0.0	3455592.0	1.0	1727796.0	1727796.0	2269525.0	2206544.0	1186067.0	2115178.0	3455592.0	0.0	23189.0	0.0	0.0	0.0	504271518.0	252113415.0	252158103.0	334454270.0	334454270.0	0.0	0.0	1015184.0	0.003035345	146.0	146.0	146.0	150.0	150.0	150.0	39.2	257.9	94.1	1033459.0	55434.0	101.0	14278.0	61.2	65.67687967792494	63.854297613838675	34.32312032207506	61.21029334481617	100.0	0.0	0.6710572312935091	0.0
D300717.lib1.stats.tsv	2646936.0	0.0	2646936.0	1.0	1323468.0	1323468.0	2218288.0	2189548.0	428648.0	2022952.0	2646936.0	0.0	39013.0	0.0	0.0	0.0	391166059.0	195583598.0	195582461.0	328213979.0	328213979.0	0.0	0.0	1439728.0	0.004386553	148.0	148.0	148.0	150.0	150.0	150.0	39.3	276.4	105.5	1026313.0	43872.0	93.0	24496.0	76.4	83.80587970392938	82.72009599023173	16.194120296070626	76.42617728573717	100.0	0.0	1.473892833071899	0.0
D300718.lib1.stats.tsv	12215644.0	0.0	12215644.0	1.0	6107822.0	6107822.0	10964791.0	10824466.0	1250853.0	10093762.0	12215644.0	0.0	182587.0	0.0	0.0	0.0	1807140955.0	903609803.0	903531152.0	1622385596.0	1622385596.0	0.0	0.0	7177050.0	0.004423764	148.0	148.0	148.0	150.0	150.0	150.0	39.4	271.0	101.8	5067312.0	222203.0	496.0	122222.0	82.6	89.76023695516994	88.61150505040914	10.239763044830056	82.62979831435821	100.0	0.0	1.4946981100628014	0.0
D300719.lib1.stats.tsv	29635178.0	0.0	29635178.0	1.0	14817589.0	14817589.0	26148794.0	25772950.0	3486384.0	23377470.0	29635178.0	0.0	460693.0	0.0	0.0	0.0	4393476495.0	2196808761.0	2196667734.0	3876795601.0	3876795601.0	0.0	0.0	17239323.0	0.004446797	148.0	148.0	148.0	150.0	150.0	150.0	39.4	285.9	109.6	12081494.0	447859.0	1149.0	355973.0	78.9	88.23565696146653	86.9674209481718	11.764343038533461	78.88418959386712	100.0	0.0	1.5545477742701597	0.0
D300720.lib1.stats.tsv	8857944.0	0.0	8857944.0	1.0	4428972.0	4428972.0	7870355.0	7743240.0	987589.0	7082950.0	8857944.0	0.0	106056.0	0.0	0.0	0.0	1309852418.0	654930014.0	654922404.0	1164716704.0	1164716704.0	0.0	0.0	4452656.0	0.003822952	148.0	148.0	148.0	150.0	150.0	150.0	39.4	281.6	109.3	3630182.0	151235.0	484.0	89719.0	80.0	88.8508100751145	87.41577052191796	11.149189924885503	79.96155767071907	100.0	0.0	1.1972981540637422	0.0
D300721.lib1.stats.tsv	30039692.0	0.0	30039692.0	1.0	15019846.0	15019846.0	27977077.0	27633562.0	2062615.0	24391610.0	30039692.0	0.0	327979.0	0.0	0.0	0.0	4452690611.0	2226490102.0	2226200509.0	4146958432.0	4146958432.0	0.0	0.0	15596823.0	0.003761027	148.0	148.0	148.0	150.0	150.0	150.0	39.4	292.3	117.3	12849207.0	482051.0	2176.0	483347.0	81.2	93.13370123768246	91.9901642134014	6.866298762317537	81.19793638363537	100.0	0.0	1.0918187842937939	0.0
D300722.lib1.stats.tsv	3667426.0	0.0	3667426.0	1.0	1833713.0	1833713.0	2538972.0	2464236.0	1128454.0	2339806.0	3667426.0	0.0	32762.0	0.0	0.0	0.0	532162394.0	266068909.0	266093485.0	372940358.0	372940358.0	0.0	0.0	1333524.0	0.003575703	145.0	145.0	145.0	150.0	150.0	150.0	39.3	261.5	101.3	1144720.0	70065.0	142.0	17191.0	63.8	69.23035393215842	67.19252140329485	30.769646067841588	63.79967857565497	100.0	0.0	0.8933240916108464	0.0
